Slide_ID	Position_ID	Cell_ID	Cell_Center_X	Cell_Center_Y	Cell_Area	Marker_States
NA	NA	293.0	1515.5637	1319.1301	443	10102020201020
NA	NA	294.0	745.6079	1143.1073	443	00100010101010
NA	NA	295.0	797.23114	1852.7522	443	00100010101010
NA	NA	296.0	1074.1083	873.46265	443	20201020202010
NA	NA	297.0	665.5097	1130.5084	443	20101010200000
NA	NA	298.0	1433.9974	804.8215	443	20201020201010
NA	NA	299.0	842.46295	1844.0546	443	10101020202020
NA	NA	300.0	1082.2196	1321.2771	443	20102020201020
NA	NA	301.0	847.97107	1255.1855	443	20202020201010
NA	NA	302.0	869.61053	561.81976	443	00202000100000
NA	NA	303.0	1007.72296	496.9525	443	20202010202020
NA	NA	304.0	946.657	1328.951	443	20102020201010
NA	NA	305.0	1475.2649	453.22385	443	20002000102020
NA	NA	306.0	1770.7303	1707.5073	443	20001010000000
NA	NA	307.0	1173.0107	1112.0146	443	10101020200010
NA	NA	308.0	1460.706	925.45233	443	10202010202020
NA	NA	309.0	1368.0999	1923.9069	443	00000020000000
NA	NA	310.0	516.8889	1694.7222	443	00000010101010
NA	NA	311.0	1296.332	1055.6342	443	10102010201010
NA	NA	312.0	1441.336	688.752	443	20202000202020
NA	NA	313.0	1705.2673	1712.1954	443	10102000101010
NA	NA	314.0	1926.2076	1483.3379	443	20001000000000
NA	NA	315.0	1117.2863	1241.2986	443	20202020202020
NA	NA	316.0	805.7967	1933.1127	443	10101020202020
NA	NA	317.0	1066.3851	1541.4911	443	20101020202020
NA	NA	318.0	1703.8472	820.1005	443	20102000101000
NA	NA	319.0	1203.4261	714.12	443	10202000201010
NA	NA	320.0	865.6362	1537.3583	443	10101020102010
NA	NA	321.0	1945.6078	1031.0348	443	00000000001020
NA	NA	322.0	669.205	1291.4017	443	20000020000000
NA	NA	323.0	970.3585	1089.304	443	20002020202020
NA	NA	324.0	1456.0911	755.0056	443	20202020202010
NA	NA	325.0	586.71027	631.2194	443	20201000102020
NA	NA	326.0	929.22253	1229.3916	443	20101020202020
NA	NA	327.0	1352.9591	1536.7	443	10201020200000
NA	NA	328.0	1744.8011	1409.7997	443	20101010000000
NA	NA	329.0	277.94333	1203.2578	443	00000000000000
NA	NA	330.0	610.05664	607.78613	443	20200000200000
NA	NA	331.0	1534.0312	1363.939	443	10101020202010
NA	NA	332.0	1537.8575	541.5812	443	20202000201010
NA	NA	333.0	1117.2758	1965.1871	443	10002020102020
NA	NA	334.0	711.4878	1081.1539	443	00201010101010
NA	NA	335.0	1963.9885	1100.0115	443	00000000101020
NA	NA	336.0	1431.2291	728.17145	443	10202010202020
NA	NA	337.0	986.73553	770.96387	443	20102020000000
NA	NA	338.0	675.3087	554.9551	443	00000000000000
NA	NA	339.0	1192.7678	1388.2046	443	20000020000000
NA	NA	340.0	1793.685	1201.894	443	10201010102020
NA	NA	341.0	818.6009	1209.962	443	20200020202020
NA	NA	342.0	1403.6676	980.55493	443	10202010202020
NA	NA	343.0	1566.407	1731.1683	443	10202020201010
NA	NA	344.0	608.2317	1708.1951	443	10101010202010
NA	NA	345.0	1233.7548	924.93536	443	10201010102020
NA	NA	346.0	1274.6794	1326.2112	443	20100020000000
NA	NA	347.0	1585.154	1882.1674	443	20102020201010
NA	NA	348.0	1691.9392	936.3793	443	20001000000000
NA	NA	349.0	614.25964	803.1706	443	00101010102020
NA	NA	350.0	1810.7433	881.40656	443	20101010102020
NA	NA	351.0	1099.8286	1217.462	443	20202020202020
NA	NA	352.0	1890.5693	1454.7168	443	20002000000000
NA	NA	353.0	1920.1327	1299.6766	443	20001000000000
NA	NA	354.0	706.8864	1906.0927	443	00000010001020
NA	NA	355.0	1848.5375	1487.4926	443	20001010100000
NA	NA	356.0	1095.7687	1194.0868	443	20202020202010
NA	NA	357.0	909.31604	1170.6183	443	00200020102020
NA	NA	358.0	654.5402	1877.7755	443	00100010000000
NA	NA	359.0	839.2368	1189.8839	443	10100020101010
NA	NA	360.0	1608.6145	1909.3809	443	20102010201010
NA	NA	361.0	978.2217	1398.5271	443	10000020100010
NA	NA	362.0	815.4829	518.4503	443	20101000000000
NA	NA	363.0	1106.3851	1049.5575	443	00200020001010
NA	NA	364.0	1484.6569	568.6056	443	20202010202020
NA	NA	365.0	1499.0559	1411.7174	443	00100010100000
NA	NA	366.0	1811.5668	1037.9891	443	10001010202020
NA	NA	367.0	1350.7092	514.5179	443	20202010102020
NA	NA	368.0	1340.1744	812.75543	443	10202020202010
NA	NA	369.0	1912.8658	1434.9719	443	10002000000000
NA	NA	370.0	1042.2468	1638.1907	443	20000010100000
NA	NA	371.0	676.3549	1598.6956	443	00100020201010
NA	NA	372.0	802.19464	667.1519	443	10101000002020
NA	NA	373.0	501.73853	776.27734	443	10100000102020
NA	NA	374.0	1488.7496	945.51984	443	20201010202020
NA	NA	375.0	1762.9761	1364.7914	443	10002010000000
NA	NA	376.0	1460.8131	1064.6326	443	20202010201020
NA	NA	377.0	1564.0432	719.3936	443	10202010101020
NA	NA	378.0	342.4936	994.08655	443	00000000000000
NA	NA	379.0	866.81805	1226.3043	443	20101020100010
NA	NA	380.0	1741.0161	719.6349	443	20201000201020
NA	NA	381.0	916.3931	629.8809	443	10202010102020
NA	NA	382.0	1673.4551	1319.7324	443	20202020000000
NA	NA	383.0	959.1863	1293.598	443	10101020201010
NA	NA	384.0	973.4967	1551.232	443	00001020001000
NA	NA	385.0	1300.5964	1223.719	443	20202020202020
NA	NA	386.0	607.0066	1791.6699	443	10100010000000
NA	NA	387.0	1866.7747	1353.8536	443	20002000000000
NA	NA	388.0	1817.1848	1738.1205	443	20001000000000
NA	NA	389.0	1332.005	776.28906	443	10201000102010
NA	NA	390.0	632.875	574.73334	443	10000000102020
NA	NA	391.0	530.2872	1725.4891	443	00100010201010
NA	NA	392.0	989.35284	1748.5117	443	20102020202020
NA	NA	393.0	1110.5889	676.79364	443	00201000102020
NA	NA	394.0	1122.6588	2008.0454	443	10000020001010
NA	NA	395.0	1249.6437	904.13947	443	10200010202020
NA	NA	396.0	643.9259	1525.5101	443	10201010201010
NA	NA	397.0	1307.3558	1336.8701	443	10100020001000
NA	NA	398.0	1598.9814	954.2934	443	20201010201010
NA	NA	399.0	1931.393	1362.0203	443	20000000000000
NA	NA	400.0	858.45605	1510.1418	443	00101020202010
NA	NA	401.0	948.6723	250.40202	443	00000000000000
NA	NA	402.0	1876.7225	1531.7157	443	20000000200000
NA	NA	403.0	984.91187	1312.2152	443	10100020101010
NA	NA	404.0	1534.1443	1714.1069	443	20202020201020
NA	NA	405.0	1619.3469	801.21936	443	10202010102020
NA	NA	406.0	1672.9949	1637.327	443	00001010000010
NA	NA	407.0	1797.536	806.3801	443	10000000001000
NA	NA	408.0	312.56604	1254.1921	443	00000000000000
NA	NA	409.0	394.42538	1514.4768	443	10002020202020
NA	NA	410.0	742.9005	1068.4476	443	10202020101020
NA	NA	411.0	1243.379	1109.4133	443	20101020201010
NA	NA	412.0	870.02405	883.08765	443	00201010201020
NA	NA	413.0	385.1638	1543.0724	443	00001000002020
NA	NA	414.0	1093.715	1539.145	443	00100020201010
NA	NA	415.0	999.7903	648.0	443	20202010202020
NA	NA	416.0	1490.8024	1735.5581	443	00000020001010
NA	NA	417.0	1662.4939	1759.3241	443	20002020101020
NA	NA	418.0	1991.8544	1248.967	443	20000000000000
NA	NA	419.0	1019.2656	751.566	443	20101000000000
NA	NA	420.0	730.6452	1235.5774	443	20202020202010
NA	NA	421.0	1127.6122	1631.8418	443	10200020102010
NA	NA	422.0	1453.4469	1511.2626	443	20201020102010
NA	NA	423.0	799.94403	464.4458	443	10102000001020
NA	NA	424.0	1295.993	1280.951	443	20201020000000
NA	NA	425.0	827.9825	1781.0928	443	00100010001010
NA	NA	426.0	1235.3993	389.2382	443	20001000000000
NA	NA	427.0	1329.0052	2033.8	443	00000010000000
NA	NA	428.0	1459.4	1541.2737	443	00101020201010
NA	NA	429.0	1561.1267	1906.1708	443	00100010201010
NA	NA	430.0	1159.1958	902.9736	443	00200010202010
NA	NA	431.0	835.0265	1750.4487	443	00100010001010
NA	NA	432.0	852.5911	1085.7576	443	20200010200000
NA	NA	433.0	867.8759	1377.2146	443	20000020000000
NA	NA	434.0	1197.6923	1993.6422	443	20002020202020
NA	NA	435.0	1225.1091	840.06085	443	00200010202010
NA	NA	436.0	675.39496	987.2244	443	20200000000000
NA	NA	437.0	843.67145	473.60144	443	10202000101010
NA	NA	438.0	1106.1508	1379.8743	443	20002020000000
NA	NA	439.0	1456.2299	1680.6732	443	10101020201010
NA	NA	440.0	1083.1798	468.97302	443	20201010201020
NA	NA	441.0	1258.9022	1178.9836	443	20201020201010
NA	NA	442.0	1502.2137	1964.6703	443	20102020102010
NA	NA	443.0	613.2182	1985.7163	443	00000000000000
NA	NA	444.0	1752.4673	1805.4691	443	10102010102020
NA	NA	445.0	1536.9071	1223.1458	443	10102010101010
NA	NA	446.0	1807.561	1772.816	443	20101000002020
NA	NA	447.0	837.05475	1873.8011	443	00001010101020
NA	NA	448.0	1024.4178	1366.7408	443	20200020102000
NA	NA	449.0	1613.0934	1746.9524	443	20102020201010
NA	NA	450.0	933.5651	960.08075	443	20200020200010
NA	NA	451.0	1136.6526	1534.9945	443	10201020102010
NA	NA	452.0	1215.941	944.151	443	00201010101010
NA	NA	453.0	1800.0571	1599.5322	443	20002020000000
NA	NA	454.0	1072.1919	1981.9133	443	10001020202020
NA	NA	455.0	727.22	1732.1276	443	00001010001010
NA	NA	456.0	1193.4806	1298.7875	443	20200020200000
NA	NA	457.0	1051.5426	846.14813	443	10202010201010
NA	NA	458.0	820.4991	846.28015	443	00200010102020
NA	NA	459.0	1213.4935	2018.7273	443	10001020102020
NA	NA	460.0	1568.4619	966.25604	443	20101010200010
NA	NA	461.0	947.8234	1650.054	443	00102020102000
NA	NA	462.0	1168.671	1668.2361	443	20101020101020
NA	NA	463.0	1293.8193	530.2011	443	00201000102020
